Id_number	Accession_name	Leaf-type	Leaflet-shape (in the first flowering node)	Leaflet-margin shape on the second real leaf	Leaflet-margin shape at the first flowering node	Leaflet-appex shape	Leaflet-colour	Leaflet-waxy bloom	Stipules-character of anthocyan spot	Tendrils of leaf-shape	Flower-vexillium colour	Flower-wings colour	Pea mosaic virus-resistance	Pea enation mosaic virus-resistance
L0100236	Fin_de_La_Bievre	5.00	4.75	1.25	1.00	2.50	2.00	4.00	1.00	3.00	1.25	1.00	3.75	3.50
L0100238	Meteor	5.00	5.00	4.00	3.25	3.00	6.25	8.00	1.00	3.00	1.75	1.50	3.25	3.25
L0100240	Clacas_Early_Dwarf	5.00	2.75	2.25	2.00	3.50	6.00	5.00	1.00	3.00	1.50	1.75	3.50	3.50
L0100241	Classed_Whats_Wanted	5.00	5.75	2.00	2.00	3.25	3.75	4.00	1.00	7.00	1.25	1.50	4.00	3.25
L0100242	Profal	5.00	2.75	1.75	1.50	2.25	5.25	6.50	1.00	4.00	1.00	1.00	3.25	3.50
L0100243	Roide_Serpettes	5.00	2.50	1.75	1.75	2.25	5.25	6.50	1.00	5.00	2.00	1.50	3.50	3.75
L0100244	Kujawski_Pozny	5.00	6.17	1.50	1.17	2.17	2.50	4.67	1.00	5.67	1.17	1.33	3.00	3.17
L0100248	Predchudce	5.00	2.75	1.50	1.50	2.50	2.50	4.50	1.00	3.50	1.75	1.50	4.00	4.00
L0100249	Raman	5.00	2.50	1.50	1.25	1.50	4.00	3.50	1.00	4.50	1.75	2.00	3.75	3.25
L0100250	Podripan	5.00	2.00	1.25	1.50	1.25	3.50	4.00	1.00	5.00	1.75	1.00	4.25	4.00
L0100251	Hrach_z_Policky	5.00	3.00	1.75	1.50	2.25	2.75	5.00	1.00	6.50	1.00	1.25	4.00	4.00
L0100252	Hrach_z_Pardubic	5.00	3.00	1.50	1.50	2.50	2.25	5.00	1.00	5.00	1.75	1.00	4.25	4.50
L0100253	Diosecky_Express_766	5.00	2.25	1.50	1.25	2.00	3.50	4.50	1.00	5.50	1.25	1.00	4.25	5.25
L0100254	Salzmunder_Edelperle	5.00	3.00	1.75	1.50	2.25	3.75	5.00	1.00	4.50	2.00	1.75	4.25	3.75
L0100255	CL_37.3	5.00	1.75	1.75	1.50	2.75	4.00	3.50	1.00	6.50	1.50	1.50	4.75	4.50
L0100256	Petit_Provencal	5.00	4.50	1.50	1.00	3.50	4.50	6.50	1.00	5.00	1.25	1.00	2.50	2.50
L0100257	Pisum_acacium	5.00	3.50	1.25	1.00	1.75	4.75	4.50	1.00	3.50	2.00	1.50	4.75	4.25
L0100258	nsl._34/52	5.00	2.75	2.50	1.50	1.75	3.00	4.50	1.00	5.50	1.75	1.75	5.00	4.00
L0100259	Zeinerskurz_und_gut	5.00	4.00	1.00	1.50	1.25	3.25	5.00	1.00	6.00	1.75	1.50	3.75	3.25
L0100260	Folger	5.00	2.25	1.25	1.00	1.50	3.50	4.50	1.00	4.00	2.00	1.50	5.00	5.00
L0100262	Dippes_gelbe_Viktoria	5.00	3.00	1.25	1.25	3.00	4.25	5.50	1.00	6.00	1.50	1.25	4.25	3.75
L0100263	Strubesfruehe_Viktoria	5.00	4.00	1.75	1.00	2.25	3.75	5.00	1.00	5.50	1.50	1.00	3.50	3.00
L0100264	Kaupasiemen	5.00	4.25	1.25	1.00	2.50	3.50	4.00	1.00	7.00	1.50	1.50	3.00	2.50
L0100265	Smaragd	5.00	2.25	1.50	1.25	2.00	3.50	5.00	1.00	4.00	1.75	1.50	4.50	3.50
L0100266	Peragisgrune_Perla	5.00	4.00	2.25	1.25	2.00	3.25	4.50	1.00	5.00	1.75	1.75	4.50	4.00
L0100267	Juwel	5.00	2.50	1.25	1.00	2.25	4.50	4.00	1.00	3.50	2.00	2.00	4.75	3.75
L0100270	Big_Ben	5.00	2.75	2.00	1.50	2.50	6.00	7.50	1.00	3.50	1.50	1.25	3.25	3.00
L0100271	Vares	5.00	2.00	1.25	1.00	1.50	4.25	5.50	1.00	5.00	1.75	1.25	2.75	2.75
L0100272	Rovar	5.00	2.25	2.00	1.00	1.50	4.25	5.50	1.00	4.00	1.75	1.50	3.25	3.75
L0100273	Fertila	5.00	2.00	1.25	1.00	1.75	5.50	6.00	1.00	3.50	1.75	1.75	3.50	3.50
L0100274	Pauli	5.00	2.00	1.25	1.25	2.25	4.50	6.00	1.00	4.50	1.50	1.25	4.25	2.50
L0100275	Kralicky_ovalny	5.00	2.75	1.25	1.25	1.75	4.75	3.50	1.00	4.50	1.50	1.50	4.50	3.75
L0100276	Valley	5.00	5.50	1.00	1.00	1.25	3.75	4.50	1.00	6.50	1.75	1.75	3.75	3.50
L0100277	Greenfeast	5.00	4.25	1.25	1.00	1.75	5.50	5.50	1.00	3.00	1.75	1.25	3.25	3.00
L0100281	Piocvert_Maroccos	5.25	3.00	1.25	1.25	2.75	4.75	4.00	1.00	3.50	1.50	1.50	3.50	3.50
L0100283	Jumboka	5.00	3.00	1.50	1.00	2.00	4.00	4.00	1.00	6.50	1.50	1.25	4.25	3.75
L0100284	Eminent	5.00	2.50	1.25	1.00	1.25	4.00	4.00	1.00	4.00	2.00	1.25	4.50	4.00
L0100285	Stral	5.00	3.00	1.17	1.17	1.83	4.33	4.00	1.00	3.00	1.00	1.00	3.33	3.33
L0100286	Ollesheimer	5.00	5.00	3.00	1.25	3.50	4.25	5.00	1.00	3.50	1.75	1.75	3.75	3.25
L0100287	Muck	5.00	4.75	2.00	2.00	3.25	3.50	5.00	1.00	6.00	1.75	1.50	2.75	2.25
L0100288	Pisum_sativum	5.00	2.25	1.75	1.75	2.75	4.50	5.00	1.00	5.00	1.00	1.50	3.75	2.25
L0100289	Adabelle	5.00	4.50	2.25	2.00	1.75	5.00	5.50	1.00	3.50	1.50	1.75	2.25	2.25
L0100290	Guisantes_Blancos	5.00	4.50	2.00	1.00	2.00	3.00	3.50	1.00	6.50	1.25	1.25	2.25	2.25
L0100291	Cesser	5.00	3.00	1.67	1.00	1.67	3.33	4.67	1.00	5.67	1.33	1.50	3.33	3.00
L0100292	Dick_Trom	5.00	2.50	2.00	1.00	1.50	5.50	6.50	1.00	3.00	2.00	1.00	4.00	3.50
L0100293	Hylgro	5.00	3.00	1.50	1.00	1.75	4.75	5.50	1.00	3.50	1.50	1.25	3.50	3.50
L0100294	Flavanda	5.00	2.00	1.00	1.00	1.75	5.00	4.00	1.00	4.00	1.00	1.25	3.25	3.25
L0100302	TorsdagIII	5.00	3.67	1.83	1.17	2.50	3.17	4.67	1.00	5.67	1.17	1.00	3.17	2.83
L0100304	Altex	5.00	2.25	1.75	1.25	2.25	5.50	5.50	1.00	4.00	1.75	1.50	4.50	4.00
L0100305	Kapital	5.00	4.83	1.17	1.00	2.00	3.67	4.33	1.00	5.67	1.17	1.17	2.50	2.67
L0100310	Bulawa	5.00	4.83	1.50	1.33	1.83	2.83	4.67	1.00	3.00	1.83	1.50	3.50	3.83
L0100311	Maipal	5.00	2.75	1.75	1.50	2.75	3.50	5.00	1.00	6.50	1.25	1.00	3.75	3.75
L0100313	Kolumba	5.00	2.50	1.50	1.25	3.00	4.50	4.00	1.00	4.00	1.00	1.00	5.25	5.25
L0100314	Bulba_Vereduna	5.00	4.75	2.00	1.00	2.75	2.00	4.00	1.00	5.50	1.75	1.50	3.50	4.00
L0100315	Trumpf	5.00	5.00	1.50	2.00	3.50	4.75	6.00	1.00	5.00	1.75	1.50	4.25	4.25
L0100316	Fruhe_Harzerin	5.00	4.75	1.25	1.00	3.00	4.00	3.50	1.00	4.00	1.75	1.50	3.25	3.75
L0100317	Swanhild	5.00	2.00	2.50	1.50	3.00	4.75	5.00	1.00	4.00	1.25	1.25	5.00	5.00
L0100318	Pyram	5.00	2.25	1.50	1.25	2.00	2.50	4.00	1.00	5.00	1.75	1.75	4.25	3.50
L0100319	NO-570	5.00	5.50	1.50	1.00	2.00	3.25	4.00	1.00	3.50	1.00	1.00	2.75	2.75
L0100320	NO-563	5.00	3.00	1.50	1.25	2.25	3.50	5.00	1.00	3.00	1.25	1.25	3.25	3.25
L0100321	NO568	5.00	4.50	2.50	1.00	2.00	3.00	4.00	1.00	3.00	1.25	1.25	2.50	2.25
L0100327	Tolbuchin	5.00	3.50	1.50	1.25	1.25	3.25	3.00	1.00	6.50	1.50	1.25	2.50	2.50
L0100330	Kombajnovyj_584	5.00	2.00	1.50	1.50	3.00	4.50	4.00	1.00	3.00	1.50	1.00	4.50	4.50
L0100332	Record	5.00	2.50	1.50	1.50	1.75	2.50	3.00	1.00	5.00	1.00	1.00	3.00	3.25
L0100333	Iregi_Sarga_P-1	5.00	2.50	1.00	1.00	1.75	3.75	5.50	1.00	5.50	1.25	1.00	2.25	2.25
L0100334	Debreceni	5.00	3.75	2.25	1.25	2.75	5.25	6.00	1.00	3.50	1.75	1.25	3.25	3.25
L0100342	Gorovcyna	5.00	3.00	2.00	1.50	2.50	4.00	6.00	1.00	6.00	2.00	2.00	4.00	4.00
L0100344	Felderbsengelbe	5.00	3.00	2.00	1.50	2.00	3.25	4.00	1.00	3.00	1.25	1.75	3.00	2.75
L0100345	Bezuponkovy_nsl.	5.00	2.75	1.50	1.25	1.75	4.75	5.00	1.00	2.50	1.50	1.50	4.00	3.75
L0100347	Sorodaz	5.00	4.00	1.25	1.00	2.00	3.00	4.00	1.00	5.00	1.00	1.00	2.25	2.75
L0100348	NO_562	5.00	4.50	1.50	1.50	2.00	5.75	5.50	1.00	7.00	1.50	1.50	3.00	3.00
L0100350	Wroclawin	5.00	6.83	1.83	1.00	2.17	3.17	5.00	1.00	3.67	1.33	1.50	3.00	3.17
L0100354	Nuitzen	5.00	3.00	1.25	1.00	1.50	5.00	5.00	1.00	3.00	1.75	1.25	3.50	3.75
L0100355	Fortschritt	5.00	4.50	1.25	1.25	1.75	3.25	4.50	1.00	3.00	1.25	1.50	2.25	2.00
L0100356	Bartel	5.00	2.25	1.25	1.00	2.25	5.25	5.50	1.00	4.00	2.25	1.75	4.00	3.50
L0100358	Vercas	5.00	4.50	1.25	1.00	2.25	5.00	4.50	1.00	7.00	1.25	1.00	2.50	2.75
L0100361	Asauji_I.C._3024	5.00	5.50	1.75	2.25	3.50	5.50	6.50	1.00	3.50	1.75	1.50	3.25	3.25
L0100362	Dornburgergelbe	5.00	2.75	1.25	1.00	2.00	3.00	4.00	1.00	6.00	1.25	1.00	4.00	4.00
L0100363	Valorart	5.00	4.25	1.00	1.00	1.50	3.50	5.50	1.00	3.00	1.00	1.00	2.50	2.50
L0100364	Ruhmers_gelbe_Viktoria	5.00	2.75	1.25	1.00	1.75	3.00	3.50	1.00	6.50	1.00	1.00	3.50	3.50
L0100365	Mahbis	5.00	3.50	1.25	1.25	2.25	3.25	3.50	1.00	6.50	1.25	1.25	3.00	3.00
L0100366	Mark_Uberraschung	5.00	4.75	2.25	3.00	2.75	3.25	4.00	1.00	5.00	1.25	1.50	3.25	3.25
L0100367	Chemin_Long	5.00	3.00	1.50	1.50	3.00	5.25	6.00	1.00	3.00	1.00	1.25	2.75	3.00
L0100368	Ojo_Negro	5.00	5.50	1.25	1.25	2.00	4.50	5.25	1.00	3.50	1.25	1.00	3.00	3.00
L0100369	Zloty_olbrzymi	5.00	4.17	1.33	1.17	2.33	3.00	4.17	1.00	5.67	1.50	1.33	3.50	3.17
L0100370	Vilmorin_III.	5.00	3.00	2.00	1.00	2.25	3.75	5.00	1.00	7.00	1.00	1.00	2.25	2.25
L0100371	Remo	5.00	2.75	1.25	1.00	1.50	3.75	5.00	1.00	7.00	1.25	1.00	3.50	3.75
L0100373	Viktoria_Kifejto_Borso	5.00	4.25	1.50	1.00	1.25	3.00	4.50	1.00	3.00	1.00	1.50	2.75	3.00
L0100374	Cobrette	5.00	3.00	2.00	1.00	2.25	5.75	5.50	1.00	3.00	1.50	1.25	3.75	3.50
L0100375	Pisum_sativum_12559	5.00	1.75	1.25	1.25	1.00	4.75	5.00	1.00	3.50	1.75	1.50	3.75	3.75
L0100376	Zolty_Borowski_K.M.	5.00	5.67	1.50	1.33	2.50	3.67	5.00	1.00	3.33	1.50	1.00	2.83	2.83
L0100377	Iregi_P-2	5.00	4.00	1.25	1.00	2.25	4.00	5.00	1.00	3.00	1.25	1.00	2.00	2.25
L0100378	Auralia	5.00	2.50	1.25	1.00	2.00	3.50	4.00	1.00	6.50	1.50	1.00	4.00	3.75
L0100379	Maro	5.00	5.75	1.50	1.25	2.25	6.00	7.50	1.00	7.00	1.75	1.50	3.50	3.25
L0100380	Laga	5.00	2.25	1.00	1.25	1.50	5.00	6.50	1.00	3.00	1.25	1.00	3.75	3.50
L0100381	Meteor	5.00	1.75	2.00	1.25	3.00	3.50	4.50	1.00	4.00	1.75	1.75	3.50	3.00
L0100384	Porta	5.00	2.50	1.75	1.50	1.00	4.75	6.50	1.00	3.50	1.25	1.00	2.00	2.75
L0100385	Riitto	5.00	2.75	1.00	1.00	2.00	3.25	5.00	1.00	7.00	1.50	1.25	2.25	2.25
L0100386	Zloty_Olbrzymi	5.00	3.50	1.50	1.17	2.50	3.67	5.00	1.00	4.67	1.67	1.17	3.83	3.67
L0100388	Klarus	5.00	2.50	1.50	1.25	3.00	3.75	5.00	1.00	4.50	1.25	1.00	3.50	3.25
L0100390	JO_06580	5.00	5.00	1.25	1.25	2.75	2.75	3.50	1.00	3.50	1.25	1.00	2.50	2.50
L0100391	JO_06638	5.00	5.75	1.50	1.00	2.25	3.75	4.75	1.00	3.00	1.25	1.00	2.75	2.75
L0100392	Spath_Stamm_225	5.00	2.50	1.00	1.25	2.00	3.50	3.50	1.00	6.50	2.00	1.75	5.50	5.00
L0100393	Allround	5.00	2.00	1.25	1.00	1.25	5.25	6.00	1.00	4.50	1.75	1.25	3.00	2.75
L0100394	Gintzi	5.00	4.75	1.25	1.00	2.25	3.50	4.50	1.00	7.00	1.25	1.00	3.50	4.00
L0100395	Weitor	5.00	2.50	2.00	2.00	2.00	3.67	6.33	1.00	4.33	1.17	1.50	3.00	2.83
L0100396	Neuga	5.00	2.75	1.25	1.25	1.75	4.75	4.50	1.00	4.00	2.00	1.50	4.75	4.25
L0100397	Fridol	5.00	2.75	1.50	1.00	2.25	4.50	5.00	1.00	4.50	1.25	1.25	4.25	4.25
L0100398	Cebeco_59-61-65-6	5.00	3.00	1.50	1.00	2.50	5.50	6.00	1.00	4.00	2.00	1.50	3.00	4.00
L0100399	Cebeco_63118-6711	5.00	3.50	1.00	1.50	1.50	5.00	7.00	1.00	5.00	1.00	1.00	3.50	3.50
L0100400	Cicero	5.00	3.50	1.50	1.25	3.50	4.75	6.00	1.00	4.00	1.75	1.50	2.75	3.00
L0100401	Legio	5.00	2.50	1.25	1.25	2.50	4.75	6.00	1.00	5.00	1.50	1.25	3.00	3.00
L0100402	Angela	5.00	4.50	2.00	1.25	2.75	3.50	3.50	1.00	3.00	2.00	2.00	3.50	4.25
L0100403	Vitallette	5.00	3.00	1.75	1.50	3.25	5.75	6.00	1.00	3.50	1.25	1.50	4.00	4.00
L0100404	Corona_Imperial	5.00	2.50	1.50	1.00	2.00	4.00	4.50	1.00	5.00	2.00	1.75	3.25	3.75
L0100405	Karina	5.00	2.75	1.50	1.25	2.00	5.50	5.50	1.00	6.00	1.75	1.75	2.50	3.25
L0100406	Parade	5.00	2.50	1.00	1.25	1.50	5.75	6.50	1.00	3.50	2.00	1.50	3.25	3.00
L0100407	F-59-622	5.00	3.00	1.67	1.67	1.83	2.50	3.67	1.00	3.00	1.17	1.17	3.00	3.33
L0100408	F-53-54	5.00	4.00	2.17	2.67	2.50	4.50	4.33	1.00	4.00	1.17	1.33	3.00	2.83
L0100409	Recette	5.00	2.50	2.00	1.25	2.25	4.50	4.50	1.00	3.50	1.50	1.00	4.00	4.00
L0100410	Nike	5.00	3.00	2.00	1.00	2.00	4.50	4.67	1.00	5.67	1.50	1.67	3.00	3.33
L0100411	I.P._3	5.00	4.00	1.25	1.00	2.75	3.00	4.00	1.00	4.50	1.75	1.50	2.25	2.25
L0100412	Hrach_z_Polska	5.00	5.50	1.17	1.17	2.17	3.67	5.67	1.00	3.00	1.00	1.17	3.50	3.50
L0100413	Jubilat	5.00	5.67	1.50	1.17	2.33	4.00	5.33	1.00	4.33	1.67	1.33	3.50	3.50
L0100414	Orion	5.00	2.00	1.50	1.50	1.50	3.00	4.00	1.00	4.50	1.00	1.25	3.75	3.25
L0100415	Gome	5.00	2.17	1.33	1.00	1.83	3.83	4.67	1.00	4.33	1.00	1.17	3.17	3.17
L0100416	Lotta	5.00	2.50	1.17	1.33	1.83	3.67	4.00	1.00	5.00	1.00	1.00	3.00	3.33
L0100417	I.C.A._53	5.00	3.17	1.83	1.83	1.50	4.00	5.33	1.00	5.67	1.33	1.00	2.83	2.67
L0100418	Miral	5.00	3.17	2.00	2.00	2.67	4.00	4.33	1.00	4.67	1.33	1.17	3.50	3.50
L0100419	Sixtus	5.00	4.50	1.50	1.25	1.75	4.25	6.00	1.00	4.50	1.25	1.25	3.00	3.00
L0100420	Paloma	5.00	2.00	1.00	1.25	1.50	4.75	6.00	1.00	4.00	1.00	1.00	3.75	3.50
L0100421	Finale	5.00	2.25	1.75	1.75	1.00	4.25	5.50	1.00	4.00	1.25	1.00	3.75	3.50
L0100422	R_4001	5.00	3.00	1.50	1.33	3.17	5.17	6.00	1.00	4.33	1.50	1.33	4.67	4.50
L0100423	Ruga	5.00	2.25	1.50	1.00	2.75	5.00	6.00	1.00	6.00	1.50	1.00	4.50	4.50
L0100424	Aga	5.00	2.25	1.25	1.25	2.25	4.25	4.00	1.00	3.50	1.50	1.25	3.75	4.25
L0100425	Birte	5.00	1.50	1.00	1.25	1.25	5.50	7.00	1.00	4.00	1.75	1.25	3.25	3.00
L0100426	HJA_10960	5.00	2.50	2.00	1.00	2.25	4.75	6.00	1.00	3.50	1.00	1.00	2.25	2.25
L0100427	Ville	5.00	2.75	1.50	1.00	1.50	6.00	7.00	1.00	3.50	1.25	1.00	2.25	2.00
L0100428	Bodil	5.00	1.75	1.25	1.00	1.00	5.00	5.00	1.00	3.50	1.50	1.00	3.00	2.00
L0100429	R_549/64	5.00	4.83	1.17	1.00	2.33	3.33	5.00	1.00	4.33	1.50	1.33	3.50	3.67
L0100430	Kaliski	5.00	3.17	1.33	1.17	1.50	4.00	5.33	1.00	4.33	1.00	1.00	3.00	2.83
L0100434	Wasata	1.00	0.00	0.00	0.00	0.00	3.17	4.33	1.00	9.00	1.50	1.50	2.83	2.67
L0100436	I.P._4	5.00	3.75	1.25	1.00	2.75	2.75	4.00	1.00	3.50	1.00	1.00	3.50	3.50
L0100437	R_2082/66	5.00	3.33	1.17	1.00	2.00	4.50	6.33	1.00	5.33	1.50	1.33	3.33	3.33
L0100438	Uladovskij_652	4.00	3.50	1.50	1.00	3.00	3.00	4.00	1.00	4.00	1.00	1.00	4.00	4.00
L0100441	Lgovskij_zeljonozernyj	5.00	2.50	1.50	1.00	3.00	2.50	4.00	1.00	6.00	2.00	1.00	4.50	4.50
L0100442	Erbsemit_Verbendertene_Steng.	5.00	2.75	1.00	1.25	2.00	3.75	5.00	1.00	3.50	1.25	1.25	4.75	4.25
L0100443	Mir	5.00	3.25	1.50	1.25	2.00	3.25	3.50	1.00	6.00	1.50	1.25	3.50	4.00
L0100444	Century	5.00	4.00	1.25	1.00	1.00	3.25	4.00	1.00	5.00	1.00	1.25	4.00	4.25
L0100445	Karo	5.00	3.83	1.17	1.33	1.83	4.33	5.33	1.00	5.33	1.50	1.67	4.00	4.00
L0100446	Erygel	5.00	3.00	2.00	1.25	2.50	4.25	6.00	1.00	4.50	1.25	1.50	3.75	3.75
L0100447	Hybris	5.00	3.00	2.00	1.25	2.75	3.50	4.00	1.00	5.50	1.25	1.50	3.50	3.50
L0100448	Primavil	5.00	2.25	1.25	1.00	2.00	4.00	5.00	1.00	4.50	1.50	1.75	2.25	2.25
L0100449	Ode_Danielle	5.00	2.50	1.50	1.00	2.25	3.00	3.00	1.00	5.00	1.50	1.50	3.00	2.75
L0100450	Mutant_Leaf_Less	3.00	0.00	0.00	0.00	0.00	4.17	3.00	1.00	9.00	1.33	1.50	4.00	3.83
L0100451	Stivo	5.00	3.67	1.50	1.17	2.33	5.67	6.00	1.00	3.33	1.33	1.17	2.83	3.17
L0100452	Spikent_R.S.	5.00	2.75	1.50	1.75	2.00	3.75	4.50	1.00	4.00	2.00	1.25	2.50	3.00
L0100453	Durana	5.00	2.50	1.50	1.00	1.50	5.50	6.00	1.00	5.50	1.50	1.50	4.00	3.50
L0100454	Fertigolt	5.00	1.50	1.25	1.25	1.25	5.50	6.00	1.00	5.00	1.75	1.25	3.75	3.00
L0100455	GreenArrow	5.00	2.00	2.00	2.00	2.00	6.00	6.50	1.00	7.00	1.75	1.50	4.00	4.25
L0100456	Junior	5.00	2.00	1.50	1.25	2.50	5.00	5.50	1.00	3.50	1.50	1.25	4.50	4.25
L0100457	Kestrel	5.00	3.50	1.00	1.00	1.75	5.00	6.50	1.00	5.00	1.50	1.25	2.75	2.75
L0100458	Lumir	5.00	2.00	1.50	1.75	3.00	4.50	5.00	1.00	5.50	1.25	1.50	4.00	4.00
L0100459	Milouin	5.00	2.00	1.50	1.25	1.50	6.00	7.00	1.00	3.00	1.75	1.25	3.75	4.00
L0100460	Properfection	5.00	2.50	2.50	1.75	2.50	4.50	5.00	1.00	3.50	1.50	1.50	2.50	2.25
L0100461	Puget	5.00	4.00	2.50	2.50	2.25	6.00	6.50	1.00	3.00	1.75	1.25	2.75	3.00
L0100462	Ridcovert	5.00	2.75	1.25	1.25	1.50	5.75	6.50	1.00	5.00	1.75	1.75	3.75	3.75
L0100463	Rivalin	4.50	2.25	2.00	1.25	1.75	4.00	4.00	1.00	5.00	1.50	1.50	4.25	3.75
L0100464	Selway	5.00	4.50	1.50	1.25	3.00	4.50	5.50	1.00	5.50	1.75	2.00	3.75	4.25
L0100465	Skagit	5.00	4.50	2.50	1.50	1.50	5.25	6.00	1.00	4.50	1.25	1.25	4.00	4.00
L0100466	Sultan	5.00	3.00	1.25	1.00	1.75	6.50	6.50	1.00	5.50	1.25	1.25	3.25	3.75
L0100467	Venus	5.00	4.25	1.75	2.00	3.25	5.00	5.00	1.00	5.50	1.50	1.25	3.75	3.25
L0100468	W.V._162F	5.00	5.25	1.75	1.75	1.50	6.50	7.00	1.00	5.00	1.75	1.75	2.50	2.75
L0100469	Zidovicka_Edelperle	5.00	2.00	2.00	1.50	3.25	4.75	4.00	1.00	4.50	1.50	1.75	3.75	3.50
L0100470	Colmo	5.00	3.00	1.75	1.00	2.25	5.50	6.50	1.00	3.50	1.50	1.75	3.00	2.50
L0100471	Harolt	5.00	2.00	1.25	1.25	1.75	4.75	3.50	1.00	5.50	1.00	1.25	3.25	3.75
L0100472	Pluto	5.00	2.50	1.25	1.25	2.00	5.00	6.00	1.00	3.50	1.75	1.50	3.00	3.75
L0100473	Pura	5.00	2.75	1.50	1.00	2.50	4.50	4.00	1.00	6.00	1.50	1.75	3.25	3.25
L0100474	Sharpe's_814	5.00	4.50	2.00	1.75	2.75	4.50	5.00	1.00	5.00	1.25	1.50	2.50	2.50
L0100475	Trapper	5.00	2.75	1.25	1.25	1.25	4.25	5.00	1.00	2.50	1.25	1.00	3.50	4.00
L0100476	Triofin	5.00	2.25	2.00	2.00	2.00	4.75	5.00	1.00	3.00	1.25	1.50	3.00	3.50
L0100477	Chancelor	5.00	2.50	1.25	1.50	2.00	3.75	3.50	1.00	6.50	1.25	1.25	2.25	2.50
L0100478	Zazrak_z_Kelvedonu	5.00	2.25	1.50	1.50	1.75	6.00	5.00	1.00	5.50	1.50	1.25	4.00	3.50
L0100479	Myzar	5.00	2.25	2.25	2.25	2.25	5.00	5.00	1.00	4.50	1.75	1.75	3.25	3.00
L0100481	Danielle	5.00	3.50	1.75	1.00	2.75	2.50	3.50	1.00	4.00	1.75	1.50	3.25	2.75
L0100482	Elvira	5.00	3.00	1.25	1.50	2.50	4.25	5.00	1.00	5.00	1.25	1.75	2.75	3.00
L0100483	Eurofin	5.00	4.50	1.75	1.25	1.75	5.00	6.00	1.00	3.00	1.50	1.50	3.25	4.00
L0100484	Finette	5.00	4.25	2.50	2.00	2.75	5.25	6.00	1.00	3.00	1.75	1.75	2.75	2.50
L0100485	Finri	5.00	2.75	1.50	1.00	2.00	4.00	4.50	1.00	5.50	1.75	1.75	4.00	4.25
L0100486	Kompakta	5.00	2.25	1.00	1.25	2.75	5.25	4.50	1.00	4.50	2.00	1.75	2.25	2.50
L0100487	Trintella	5.00	2.00	1.25	1.00	1.75	5.00	6.00	1.00	4.00	1.75	1.75	2.50	2.25
L0100488	Polarette	5.00	2.00	1.00	1.25	1.50	5.50	4.50	1.00	3.50	1.00	1.25	3.50	3.50
L0100489	Plovdivska_Perla	5.00	3.00	1.25	1.00	1.75	5.50	6.00	1.00	5.00	1.25	1.25	2.00	1.75
L0100490	Profino	5.00	2.00	1.50	1.25	1.50	4.00	6.00	1.00	5.00	1.00	1.00	3.50	3.50
L0100491	Triton	5.00	4.25	2.75	2.25	2.50	4.50	5.50	1.00	5.00	2.00	2.00	3.00	3.00
L0100492	Uspech72	5.00	4.25	1.50	1.00	1.25	6.25	7.00	1.00	3.50	1.00	1.00	3.25	3.75
L0100493	Evi	5.00	1.75	1.50	1.00	1.00	5.25	6.00	1.00	4.00	1.50	1.50	3.50	3.25
L0100494	Exzellenz	5.00	4.25	3.00	4.00	3.00	3.50	5.50	1.00	6.00	2.00	1.75	2.75	3.25
L0100495	Haco	5.00	2.25	1.50	1.50	1.25	5.00	5.50	1.00	4.00	1.00	1.25	3.25	2.75
L0100496	Mercurio_Nr.35	5.00	2.75	1.25	1.00	1.25	5.50	5.00	1.00	7.00	1.00	1.00	2.25	2.75
L0100497	NO_810-67	5.00	2.25	1.00	1.00	1.50	5.00	5.50	1.00	3.00	1.75	1.50	3.50	3.50
L0100498	Citrina	5.00	1.75	2.50	1.50	2.00	4.00	3.00	1.00	4.00	2.00	1.50	4.25	3.75
L0100499	Ralica	5.00	2.75	1.50	2.00	1.75	5.25	6.50	1.00	3.50	1.00	1.25	2.25	2.00
L0100500	Zornica	5.00	4.00	3.00	1.25	2.25	4.50	5.50	1.00	3.50	1.25	1.50	2.25	2.25
L0100501	Scout	5.00	2.25	1.00	1.00	2.25	6.75	8.00	1.00	5.50	1.25	1.25	3.00	3.25
L0100502	Souchet	5.00	2.50	1.25	1.00	2.00	3.75	5.00	1.00	3.50	1.50	1.25	3.00	3.25
L0100505	Trinetto	5.00	1.75	1.25	1.00	1.25	4.50	5.00	1.00	3.50	1.50	1.25	3.50	2.75
L0100506	Frogel	5.00	2.25	1.75	1.00	1.25	4.50	6.00	1.00	3.00	1.25	1.25	2.50	2.50
L0100507	Fabina	5.00	2.50	2.50	2.50	2.50	5.00	5.00	1.00	3.50	2.00	1.50	2.25	2.25
L0100508	Allegro	5.00	5.75	3.00	2.75	3.50	2.25	3.50	1.00	3.50	1.50	1.25	3.50	3.75
L0100509	R_280/67	5.00	3.17	1.17	1.33	1.67	4.00	4.33	1.00	4.33	1.33	1.33	3.50	3.83
L0100510	Sirena	5.00	2.00	1.25	1.00	2.25	5.25	5.00	1.00	3.50	2.00	1.75	5.75	5.25
L0100511	I.P._6	5.00	4.00	2.00	1.75	2.25	2.75	4.00	1.00	3.00	1.25	1.00	3.00	3.25
L0100514	Clamart_Trois_Gouses	5.00	2.50	2.00	1.75	2.00	4.50	6.00	1.00	3.50	1.25	1.25	2.50	2.75
L0100515	Var._episcopi	5.00	2.25	1.50	1.00	1.50	4.50	5.00	1.00	3.50	1.50	1.50	4.75	4.25
