Id_number	Accession_name	Leaf-type	Leaflet-shape (in the first flowering node)	Leaflet-margin shape on the second real leaf	Leaflet-margin shape at the first flowering node	Leaflet-appex shape	Leaflet-colour	Leaflet-waxy bloom	Stipules-character of anthocyan spot	Tendrils of leaf-shape	Flower-vexillium colour	Flower-wings colour	Pea mosaic virus-resistance	Pea enation mosaic virus-resistance
L0100054	Nordostfruhe_Grune	5.00	1.75	1.25	1.75	1.25	4.50	6.00	1.00	6.00	1.25	1.25	5.50	5.25
L0100055	Nordostkleine_Weise	5.00	3.50	1.00	1.25	2.00	3.00	4.00	1.00	6.00	1.50	1.25	5.50	5.25
L0100057	Rimpausgrune_Viktoria	5.00	4.50	1.25	1.00	1.75	3.25	3.50	1.00	5.00	1.75	1.50	5.00	5.50
L0100058	Ruhmersgelbe_Viktoria	5.00	5.75	1.50	1.00	3.00	3.00	5.00	1.00	5.50	1.25	1.25	5.25	5.75
L0100059	Salzmundergelbe_Viktoria	5.00	4.50	1.75	1.25	3.00	3.00	5.00	1.00	5.50	1.00	1.00	3.50	3.25
L0100060	Salzmunderkleine_Grune	5.00	3.25	1.25	1.00	3.25	3.25	4.50	1.00	3.00	2.00	1.25	5.00	4.50
L0100061	Schors_Rappoldshofer_gelbe_Vik	5.00	4.00	1.50	1.00	2.00	3.25	3.50	1.00	4.00	1.50	1.50	3.00	3.25
L0100062	Weissbluhende_Niedrige	7.00	2.25	1.50	2.50	2.75	2.75	4.50	1.00	1.00	1.50	1.25	3.00	3.50
L0100063	Walwitzergelbe_Viktoria	5.00	3.25	1.50	1.00	2.50	4.00	4.50	1.00	6.50	1.25	1.00	4.75	4.25
L0100064	Waldmanns_Waldoria	5.00	3.75	1.00	1.00	2.75	3.50	5.00	1.00	5.00	1.25	1.25	3.75	3.25
L0100065	Zeinerkurzundgut	5.00	2.50	1.00	1.25	2.25	4.25	5.00	1.00	5.50	1.75	1.25	3.75	3.75
L0100066	Murilo	4.50	4.75	1.50	1.00	3.75	2.50	4.50	1.00	5.00	1.75	1.75	3.50	3.00
L0100067	WeibullsKloster_Erbse	5.00	2.17	1.67	1.33	2.33	3.83	3.67	1.00	3.00	1.67	1.50	3.83	4.17
L0100068	Svalofs_Buttererbse	5.00	3.83	1.17	1.00	2.00	3.00	4.33	1.00	5.67	1.17	1.17	2.83	2.67
L0100069	Svalofs_Torsdagart	5.00	2.33	1.83	1.33	1.83	3.50	5.00	1.00	3.67	1.17	1.00	3.83	3.83
L0100070	Kalle	5.00	2.75	1.75	1.00	2.25	3.00	4.50	1.00	3.00	1.25	1.00	2.25	2.25
L0100071	Paula	5.00	5.50	1.50	1.00	2.25	3.75	4.00	1.00	5.00	1.25	1.25	3.00	2.00
L0100072	Sinikka	5.00	5.75	1.75	1.00	1.75	3.50	4.00	1.00	3.00	1.00	1.00	2.50	2.50
L0100073	Americky	5.00	4.00	1.75	1.00	2.50	3.25	3.50	1.00	3.00	1.25	1.50	3.00	3.00
L0100074	Dickson	5.00	4.50	2.00	2.00	2.50	4.00	5.50	1.00	3.00	1.00	1.00	2.50	2.50
L0100075	Kanadsky_Arthur	5.00	4.50	1.50	1.00	2.00	3.75	4.50	1.00	3.00	1.50	1.00	2.50	2.50
L0100076	Kanadsky_Mackay	5.00	4.50	1.25	1.25	3.00	3.25	4.00	1.00	7.00	1.25	1.25	2.75	2.75
L0100077	Michauxii	5.00	5.50	1.75	1.25	2.00	4.00	5.00	1.00	7.00	1.00	1.00	2.75	2.75
L0100078	Jihoafricky_krmny	5.00	4.00	2.25	2.25	1.25	3.50	4.50	1.00	5.00	1.25	1.00	4.00	4.25
L0100079	Jihoafricky_zeleny	5.00	6.00	1.75	1.00	1.75	3.75	4.00	1.00	3.00	1.50	1.50	3.50	3.50
L0100080	KM_12	5.00	4.25	2.50	1.50	2.25	3.00	4.00	1.00	7.00	1.00	1.25	2.75	2.75
L0100081	Mala_Porynanka	5.00	2.50	1.25	1.50	2.75	4.50	6.00	1.00	5.00	1.75	1.25	3.25	3.25
L0100082	Nejranejsi_BXB	5.00	2.25	1.25	1.25	1.75	5.25	6.00	1.00	3.50	1.50	1.00	4.25	3.50
L0100083	Nejranejsi_majovy	5.00	2.25	1.25	1.25	2.25	4.00	6.00	1.00	4.50	1.50	1.50	3.75	3.25
L0100084	Liliput	5.00	1.75	3.50	3.00	2.25	5.75	6.00	1.00	4.50	1.00	1.00	4.75	4.25
L0100085	Rekord	5.00	4.75	1.25	1.25	2.00	3.00	5.50	1.00	5.00	1.00	1.50	5.00	4.25
L0100086	Unica	5.00	3.00	2.00	1.00	1.25	6.00	6.50	1.00	4.00	2.00	1.50	3.25	3.25
L0100087	VM_10	5.00	3.00	3.00	2.00	2.50	5.25	7.00	1.00	5.50	1.50	1.75	5.25	5.00
L0100088	Zelenynizky	5.00	1.75	3.00	2.50	2.50	5.75	6.50	1.00	5.50	1.50	1.50	4.75	5.00
L0100091	AlerFijuerskij	5.00	2.75	2.00	1.50	1.75	5.25	5.50	1.00	3.00	1.25	1.25	4.00	3.75
L0100092	Saxa	5.00	5.00	2.00	1.75	2.00	3.00	4.50	1.00	5.50	1.75	1.00	3.75	3.50
L0100093	Plovdivskiij	5.00	5.50	4.00	3.00	3.00	6.25	7.50	1.00	3.00	1.25	1.25	3.50	4.00
L0100094	Aviator	5.00	5.75	1.00	1.00	3.25	2.00	3.00	1.00	7.00	1.00	1.25	2.00	2.00
L0100095	Terras_Brunschwiege	5.00	2.00	1.50	1.00	2.25	3.50	4.50	1.00	3.00	1.75	1.50	4.75	4.25
L0100096	Caractacus	5.00	4.25	1.25	1.25	1.50	4.25	5.00	1.00	3.00	1.25	1.25	3.75	2.75
L0100097	EarlyBird	5.00	5.75	1.50	1.00	3.00	2.50	3.50	1.00	5.00	1.00	1.00	3.50	2.50
L0100098	ICA_5354	5.00	5.75	1.25	1.00	1.75	3.25	3.50	1.00	3.00	1.00	1.25	2.75	2.50
L0100099	Expres	5.00	6.50	2.00	1.50	3.25	5.50	7.00	1.00	3.00	1.00	1.00	3.75	3.25
L0100100	Plovdivskij_Furajen	5.00	5.50	1.75	1.50	3.25	3.25	5.50	1.00	5.00	2.00	1.50	4.00	2.75
L0100101	Borek	5.00	1.75	3.00	2.50	2.50	5.00	4.00	1.00	5.00	1.50	1.75	4.75	4.50
L0100103	Konservgyongye	5.00	5.75	1.00	1.00	3.25	2.25	6.50	1.00	3.00	1.25	1.50	4.00	2.50
L0100104	Laxton's_Superb	5.00	5.75	1.00	1.00	3.00	2.50	4.00	1.00	5.00	1.50	1.25	3.75	3.75
L0100105	Dalibor	5.00	2.00	1.00	1.50	1.75	4.50	4.50	1.00	4.50	1.75	1.25	4.25	4.00
L0100106	Proteus	5.00	2.25	3.00	1.00	2.25	4.50	4.50	1.00	5.00	1.50	1.50	4.75	4.75
L0100107	Inter	5.00	2.50	2.25	1.25	1.75	4.50	3.00	1.00	5.50	1.75	1.50	4.25	4.00
L0100108	Uberreich	5.00	5.75	1.50	1.00	3.50	2.75	5.00	1.00	7.00	1.00	1.25	4.50	3.25
L0100109	Kleine_Rheinlanderin	5.00	4.25	3.75	2.75	2.00	4.75	7.00	1.00	7.00	2.00	1.50	3.25	3.50
L0100110	Brunsviga	5.00	2.00	1.50	1.00	3.00	3.00	5.00	1.00	4.50	1.50	1.25	4.50	4.50
L0100111	Buchsbaumfruhe	5.00	5.75	1.75	2.00	2.25	5.00	5.50	1.00	4.00	1.50	1.00	3.50	4.00
L0100112	Echo	5.00	4.00	2.25	1.50	2.00	3.25	4.00	1.00	5.00	1.75	1.75	6.00	5.50
L0100113	Exalda	5.00	6.25	1.75	1.50	3.75	2.25	3.50	1.00	5.50	1.25	1.00	5.00	4.50
L0100114	Heralda	5.00	3.75	1.50	1.00	2.50	5.50	6.00	1.00	4.00	1.75	1.25	4.75	4.25
L0100115	Kleine_Weissenfelserin	5.00	3.50	3.00	2.00	3.00	5.25	6.00	1.00	6.50	2.00	1.50	4.00	3.75
L0100116	Krineruv_zeleny_velkozrnny	5.00	4.50	1.50	1.25	2.00	3.75	4.00	1.00	5.50	1.25	1.00	3.75	3.50
L0100117	Maibote	5.00	2.50	1.50	1.25	1.50	2.50	3.00	1.00	6.00	1.25	1.00	3.50	3.50
L0100118	Maiperle	5.00	4.25	1.75	1.50	2.50	2.50	3.00	1.00	7.00	1.25	1.25	3.75	3.25
L0100119	Mansholt's_Pluk	5.00	2.50	1.50	1.00	1.00	4.75	6.00	1.00	4.00	2.50	1.50	2.75	3.00
L0100120	Onsa	5.00	5.00	2.75	2.25	3.75	3.50	4.00	1.00	3.50	1.75	1.25	3.25	3.75
L0100121	Orlik	5.00	2.25	2.25	1.50	2.50	4.00	4.50	1.00	4.00	1.75	1.75	3.00	2.75
L0100123	Caractacus	5.00	6.00	1.25	1.00	2.25	4.00	4.00	1.00	7.00	1.25	1.00	3.25	3.50
L0100124	Bountiful	5.00	5.75	1.00	1.00	3.25	4.25	6.00	1.00	3.00	1.75	1.00	3.00	3.00
L0100125	PencilPod	5.00	4.25	2.25	1.50	3.25	3.25	3.50	1.00	3.00	1.50	1.50	2.00	2.00
L0100126	Princ_Albert	5.00	4.50	1.00	1.25	2.25	2.75	5.00	1.00	3.00	1.75	1.25	3.25	2.25
L0100127	Alaska	5.00	5.75	1.25	1.00	2.75	3.00	6.50	1.00	5.00	1.25	1.25	3.50	2.00
L0100128	Hijlkema_Unica	5.00	2.00	1.00	1.25	2.75	5.25	6.50	1.00	5.00	2.00	1.75	3.75	4.25
L0100129	Konserva	5.00	2.75	1.50	1.25	1.50	4.50	6.00	1.00	4.00	1.25	1.25	3.00	2.75
L0100130	Parel_C.B.	5.00	2.00	1.25	1.25	1.25	4.75	6.00	1.00	4.00	1.75	1.25	3.50	2.75
